Date, S&P 500 
1928-01-01, 100.00 
1929-01-01, 143.81 
1930-01-01, 131.88 
1931-01-01, 98.75 
1932-01-01, 55.46 
1933-01-01, 50.66 
1934-01-01, 75.99 
1935-01-01, 75.09 
1936-01-01, 110.18 
1937-01-01, 145.38 
1938-01-01, 94.00 
1939-01-01, 121.53 
1940-01-01, 120.20 
1941-01-01, 107.37 
1942-01-01, 93.66 
1943-01-01, 111.61 
1944-01-01, 139.59 
1945-01-01, 166.15 
1946-01-01, 225.67 
1947-01-01, 206.65 
1948-01-01, 217.39 
1949-01-01, 229.79 
1950-01-01, 271.85 
1951-01-01, 355.60 
1952-01-01, 439.80 
1953-01-01, 519.62 
1954-01-01, 513.35 
1955-01-01, 783.18 
1956-01-01, 1038.47
1957-01-01, 1115.73
1958-01-01, 999.05 
1959-01-01, 1435.84
1960-01-01, 1608.95
1961-01-01, 1614.37
1962-01-01, 2044.40
1963-01-01, 1864.26
1964-01-01, 2285.80
1965-01-01, 2661.02
1966-01-01, 2990.97
1967-01-01, 2692.74
1968-01-01, 3333.69
1969-01-01, 3694.23
1970-01-01, 3389.77
1971-01-01, 3510.49
1972-01-01, 4009.72
1973-01-01, 4761.76
1974-01-01, 4080.44
1975-01-01, 3023.54
1976-01-01, 4142.10
1977-01-01, 5129.20
1978-01-01, 4771.20
1979-01-01, 5081.77
1980-01-01, 6022.89
1981-01-01, 7934.26
1982-01-01, 7561.16
1983-01-01, 9105.08
1984-01-01, 11138.90
1985-01-01, 11823.51
1986-01-01, 15516.60
1987-01-01, 18386.33
1988-01-01, 19455.08
1989-01-01, 22672.40
1990-01-01, 29808.58
1991-01-01, 28895.11
1992-01-01, 37631.51
1993-01-01, 40451.51
1994-01-01, 44483.33
1995-01-01, 45073.14
1996-01-01, 61838.19
1997-01-01, 75863.69
1998-01-01, 100977.34
1999-01-01, 129592.25
2000-01-01, 156658.05
2001-01-01, 142508.98
2002-01-01, 125622.01
2003-01-01, 98027.82
2004-01-01, 125824.39
2005-01-01, 139341.42
2006-01-01, 146077.85
2007-01-01, 168884.34
2008-01-01, 178147.20
2009-01-01, 113030.22
2010-01-01, 142344.87
2011-01-01, 163441.94
2012-01-01, 166871.56
2013-01-01, 193388.43
2014-01-01, 255553.31
2015-01-01, 290115.42
2016-01-01, 294115.79
2017-01-01, 328742.28
2018-01-01, 399768.64
2019-01-01, 382870.94
2020-01-01, 502371.39
2021-01-01, 592868.15
