Date,ICE US Treasury 1-3 Year Bond
2004-12-01,10000
2005-01-01,10445.07186
2005-02-01,10245.73525
2005-03-01,10476.78323
2005-04-01,10542.29496
2005-05-01,11119.90617
2005-06-01,11361.83762
2005-07-01,11326.57614
2005-08-01,11299.90329
2005-09-01,11416.00644
2005-10-01,11432.11305
2005-11-01,11716.23472
2005-12-01,11733.62986
2006-01-01,11440.8967
2006-02-01,11683.58839
2006-03-01,11476.82043
2006-04-01,11115.04665
2006-05-01,10844.5392
2006-06-01,10996.32516
2006-07-01,11031.19991
2006-08-01,11037.06958
2006-09-01,11262.34951
2006-10-01,11273.29146
2006-11-01,10898.25665
2006-12-01,10923.87106
2007-01-01,11129.18005
2007-02-01,11000.78344
2007-03-01,10954.3198
2007-04-01,10761.48737
2007-05-01,10873.13782
2007-06-01,10876.53692
2007-07-01,10815.07245
2007-08-01,10928.81816
2007-09-01,10638.67738
2007-10-01,10480.11363
2007-11-01,10435.80584
2007-12-01,10490.32242
2008-01-01,10567.4073
2008-02-01,10465.86221
2008-03-01,10061.01213
2008-04-01,10153.27868
2008-05-01,10133.95859
2008-06-01,9999.796181
2008-07-01,10138.30371
2008-08-01,10797.14955
2008-09-01,11212.6203
2008-10-01,12693.52277
2008-11-01,12872.38575
2008-12-01,11843.67154
2009-01-01,12815.31116
2009-02-01,12976.33549
2009-03-01,12394.96723
2009-04-01,12409.07168
2009-05-01,11704.48513
2009-06-01,11655.97687
2009-07-01,11668.39205
2009-08-01,11606.24956
2009-09-01,11339.33156
2009-10-01,11243.45646
2009-11-01,11143.57745
2009-12-01,11528.52177
2010-01-01,11983.43381
2010-02-01,12357.00901
2010-03-01,12408.77883
2010-04-01,12596.29515
2010-05-01,13690.24384
2010-06-01,13793.77744
2010-07-01,13027.8994
2010-08-01,13411.09481
2010-09-01,12481.26045
2010-10-01,12321.34837
2010-11-01,13110.88159
2010-12-01,12729.22587
2011-01-01,12442.05189
2011-02-01,12303.26059
2011-03-01,11973.75733
2011-04-01,11499.06448
2011-05-01,11921.11868
2011-06-01,11868.71206
2011-07-01,12063.29657
2011-08-01,11946.94731
2011-09-01,12766.77377
2011-10-01,12323.18033
2011-11-01,12865.93757
2011-12-01,13348.6865
2012-01-01,13124.89233
2012-02-01,12845.47043
2012-03-01,12921.42857
2012-04-01,13088.54845
2012-05-01,13950.29766
2012-06-01,13735.11718
2012-07-01,14111.26856
2012-08-01,13746.63821
2012-09-01,13408.44442
2012-10-01,13335.70151
2012-11-01,13355.35727
2012-12-01,13148.72572
2013-01-01,12804.9196
2013-02-01,13226.85259
2013-03-01,13564.89724
2013-04-01,13301.52214
2013-05-01,13348.70392
2013-06-01,13265.42581
2013-07-01,13091.05651
2013-08-01,13118.06932
2013-09-01,12885.05141
2013-10-01,12769.79992
2013-11-01,12809.78883
2013-12-01,12625.20986
2014-01-01,12903.04451
2014-02-01,12636.74405
2014-03-01,12645.39748
2014-04-01,12605.61824
2014-05-01,12854.72585
2014-06-01,12800.86936
2014-07-01,13057.0685
2014-08-01,13269.02831
2014-09-01,13898.96272
2014-10-01,14004.60011
2014-11-01,14073.5592
2014-12-01,14434.30217
2015-01-01,15580.82927
2015-02-01,15636.59143
2015-03-01,16374.59045
2015-04-01,15714.25318
2015-05-01,16076.30652
2015-06-01,15766.60791
2015-07-01,16095.94851
2015-08-01,15730.66844
2015-09-01,15795.54299
2015-10-01,16047.28381
2015-11-01,16668.88839
2015-12-01,16181.63517
2016-01-01,16232.37039
2016-02-01,16298.26406
2016-03-01,15614.20039
2016-04-01,15595.13011
2016-05-01,15926.75232
2016-06-01,16096.00488
2016-07-01,16072.13041
2016-08-01,16017.06732
2016-09-01,15995.02227
2016-10-01,16296.15807
2016-11-01,16702.65403
2016-12-01,16859.74008
2017-01-01,16542.7957
2017-02-01,16807.70047
2017-03-01,16667.10427
2017-04-01,16325.91256
2017-05-01,15922.3219
2017-06-01,15642.03282
2017-07-01,15255.2659
2017-08-01,15158.60379
2017-09-01,15156.81115
2017-10-01,15364.70789
2017-11-01,15059.01736
2017-12-01,14880.14267
2018-01-01,14280.44622
2018-02-01,14557.95259
2018-03-01,14460.62315
2018-04-01,14724.65464
2018-05-01,15259.68767
2018-06-01,15315.19804
2018-07-01,15211.15826
2018-08-01,15372.24092
2018-09-01,15452.02197
2018-10-01,15827.82531
2018-11-01,15827.05579
2018-12-01,15828.60307
2019-01-01,15818.90743
2019-02-01,15933.75317
2019-03-01,16291.60617
2019-04-01,16349.24219
2019-05-01,16568.19207
2019-06-01,16319.94885
2019-07-01,16634.62491
2019-08-01,16946.86053
2019-09-01,17155.54691
2019-10-01,16803.12984
2019-11-01,17060.23659
2019-12-01,16712.95254
2020-01-01,17082.42842
2020-02-01,17352.41116
2020-03-01,17626.52972
2020-04-01,17764.44521
2020-05-01,17362.13644
2020-06-01,17270.44394
2020-07-01,16339.92577
2020-08-01,16209.86271
2020-09-01,16535.46312
2020-10-01,16542.41489
2020-11-01,16160.34239
2020-12-01,15784.94747
2021-01-01,15961.36382
2021-02-01,15966.72753
2021-03-01,16509.16776
2021-04-01,16029.08045
2021-05-01,15884.14933
2021-06-01,16282.65343
2021-07-01,16300.62142
2021-08-01,16379.28648
2021-09-01,16722.50552
2021-10-01,16572.05805
